game_id,score1,score2,team1,team2,week,year
220905019,16,13,San Francisco,NY Giants,1,2002
220908002,37,31,NY Jets,Buffalo,1,2002
220908003,27,23,Chicago,Minnesota,1,2002
220908004,34,6,San Diego,Cincinnati,1,2002
220908005,40,39,Kansas City,Cleveland,1,2002
220908009,37,34,Green Bay,Atlanta,1,2002
220908010,27,24,Tennessee,Philadelphia,1,2002
220908015,49,21,Miami,Detroit,1,2002
220908028,31,23,Washington,Arizona,1,2002
220908029,10,7,Carolina,Baltimore,1,2002
220908030,28,25,Indianapolis,Jacksonville,1,2002
220908007,23,16,Denver,St. Louis,1,2002
220908013,31,17,Oakland,Seattle,1,2002
220908027,26,20,New Orleans,Tampa Bay,1,2002
220908034,19,10,Houston,Dallas,1,2002
220909017,30,14,New England,Pittsburgh,1,2002
221110009,40,14,Green Bay,Detroit,10,2002
221110010,17,10,Tennessee,Houston,10,2002
221110014,28,24,St. Louis,San Diego,10,2002
221110016,27,20,NY Giants,Minnesota,10,2002
221110021,35,13,Indianapolis,Philadelphia,10,2002
221110023,34,34,Pittsburgh,Atlanta,10,2002
221110029,34,24,New Orleans,Carolina,10,2002
221110033,38,27,Baltimore,Cincinnati,10,2002
221110022,27,6,Seattle,Arizona,10,2002
221110030,26,7,Jacksonville,Washington,10,2002
221110003,33,30,New England,Chicago,10,2002
221110025,17,13,San Francisco,Kansas City,10,2002
221110020,13,10,NY Jets,Miami,10,2002
221111007,34,10,Oakland,Denver,10,2002
221117001,24,17,Atlanta,New Orleans,11,2002
221117004,27,20,Cleveland,Cincinnati,11,2002
221117010,31,23,Tennessee,Pittsburgh,11,2002
221117011,20,3,Indianapolis,Dallas,11,2002
221117012,17,16,Kansas City,Buffalo,11,2002
221117016,31,21,Minnesota,Green Bay,11,2002
221117019,19,17,NY Giants,Washington,11,2002
221117021,38,14,Philadelphia,Arizona,11,2002
221117034,24,21,Jacksonville,Houston,11,2002
221117024,20,17,San Diego,San Francisco,11,2002
221117027,23,10,Tampa Bay,Carolina,11,2002
221117008,31,14,NY Jets,Detroit,11,2002
221117015,26,7,Miami,Baltimore,11,2002
221117026,31,9,Denver,Seattle,11,2002
221117013,27,20,Oakland,New England,11,2002
221118014,21,16,St. Louis,Chicago,11,2002
221124003,20,17,Chicago,Detroit,12,2002
221124006,21,19,Dallas,Jacksonville,12,2002
221124015,30,3,Miami,San Diego,12,2002
221124017,24,17,New England,Minnesota,12,2002
221124018,24,15,Cleveland,New Orleans,12,2002
221124020,31,13,NY Jets,Buffalo,12,2002
221124023,29,21,Pittsburgh,Cincinnati,12,2002
221124028,20,17,Washington,St. Louis,12,2002
221124029,41,0,Atlanta,Carolina,12,2002
221124033,13,12,Baltimore,Tennessee,12,2002
221124022,41,20,Oakland,Arizona,12,2002
221124026,39,32,Seattle,Kansas City,12,2002
221124027,21,7,Tampa Bay,Green Bay,12,2002
221124034,16,14,Houston,NY Giants,12,2002
